,Unnamed: 0,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Pied droit
0,720,"Iniesta, Andrés Iniesta Luján",37,79,79,2024,41,171,68,79.0,CAM,0.0,5500000,10000,€7.2M,366.0,75.0,69.0,54.0,89.0,79.0,404.0,82.0,80.0,72.0,83.0,87.0,303.0,55.0,44.0,60.0,68.0,76.0,275.0,67.0,40.0,48.0,50.0,70.0,353.0,58.0,59.0,76.0,89.0,71.0,89.0,172.0,68.0,54.0,50.0,45.0,6.0,13.0,6.0,13.0,7.0,1918.0,394.0,4.0,49.0,70.0,84.0,81.0,59.0,1
1,52,"Denilson, Denílson de Oliveira Araújo",30,72,86,Unknown,93,178,68,,LW,,0,0,,,68.0,74.0,41.0,75.0,,,79.0,,71.0,70.0,81.0,,66.0,70.0,,61.0,,,75.0,,65.0,57.0,62.0,,35.0,,,,,75.0,,,,,,10.0,21.0,,21.0,21.0,,,,,,,,,0
2,70,"P. Telfer, Paul Telfer",36,59,74,Unknown,111,175,73,,CF,,0,0,,,59.0,22.0,62.0,62.0,,,58.0,,53.0,54.0,61.0,,57.0,64.0,,57.0,,,69.0,,48.0,71.0,23.0,,71.0,,,,,60.0,,,,,,11.0,21.0,,21.0,21.0,,,,,,,,,1
3,3369,"J. Grady, James Grady",37,63,72,Unknown,3410,170,64,,CF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,7214,"N. Dabizas, Nikos Dabizas",33,74,75,Unknown,7255,188,79,,CB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,16543,"B. Prideaux, Brandon Prideaux",32,62,65,Unknown,16584,185,82,,RB,,0,0,,,55.0,43.0,58.0,61.0,,,47.0,,37.0,47.0,57.0,,61.0,67.0,,65.0,,,50.0,,71.0,60.0,39.0,,65.0,,,,,65.0,,,,,,3.0,20.0,,20.0,20.0,,,,,,,,,1
6,18074,"Rúben Fernandes, Rúben Miguel Marques dos Santos Fernandes",38,72,72,2025,18115,187,81,,CB,,325000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7,19602,"B. Balaban, Boško Balaban",29,75,80,Unknown,19643,180,75,,CF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,2821,"Pepe Reina, José Manuel Reina Páez",41,75,75,2025,24630,188,92,76.0,GK,0.0,625000,8000,€1.7M,86.0,,,,,,94.0,,,,,,274.0,,,,,,242.0,,,,,,156.0,,,,,,,66.0,,,,378.0,,,,,,1296.0,423.0,3.0,75.0,75.0,77.0,74.0,45.0,1
9,3509,"P. Butler, Paul Butler",35,50,73,Unknown,3550,188,90,,CB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,12745,"G. Korsós, György Korsós",31,58,66,Unknown,12786,181,78,,RB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,24548,"G. Sorondo, Gonzalo Sorondo Amaro",31,71,71,Unknown,24589,190,82,,CB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,52638,"J. Murphy, Joseph Murphy",42,55,55,2025,52679,188,88,,GK,,20000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
