,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Pied droit
720,"Iniesta, Andrés Iniesta Luján",37,79 ,79 ,2024,41,171,68,79,CAM,0,5500000,10000,€7.2M,366,75,69,54,89,79,404,82,80,72,83,87,303,55,44,60,68,76,275,67,40,48,50,70,353,58,59,76,89,71,89,172,68,54,50,45,6,13,6,13,7,1918,394,4,49,70,84,81,59,1
52,"Denilson, Denílson de Oliveira Araújo",30,72 ,86 ,Unknown,93,178,68,,LW,,0,0,,,68,74,41,75,,,79,,71,70,81,,66,70,,61,,,75,,65,57,62,,35,,,,,75,,,,,,10,21,,21,21,,,,,,,,,0
70,"P. Telfer, Paul Telfer",36,59 ,74 ,Unknown,111,175,73,,CF,,0,0,,,59,22,62,62,,,58,,53,54,61,,57,64,,57,,,69,,48,71,23,,71,,,,,60,,,,,,11,21,,21,21,,,,,,,,,1
3369,"J. Grady, James Grady",37,63 ,72 ,Unknown,3410,170,64,,CF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7214,"N. Dabizas, Nikos Dabizas",33,74 ,75 ,Unknown,7255,188,79,,CB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16543,"B. Prideaux, Brandon Prideaux",32,62 ,65 ,Unknown,16584,185,82,,RB,,0,0,,,55,43,58,61,,,47,,37,47,57,,61,67,,65,,,50,,71,60,39,,65,,,,,65,,,,,,3,20,,20,20,,,,,,,,,1
18074,"Rúben Fernandes, Rúben Miguel Marques dos Santos Fernandes",38,72,72,2025,18115,187,81,,CB,,325000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19602,"B. Balaban, Boško Balaban",29,75 ,80 ,Unknown,19643,180,75,,CF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2821,"Pepe Reina, José Manuel Reina Páez",41,75 ,75 ,2025,24630,188,92,76,GK,0,625000,8000,€1.7M,86,,,,,,94,,,,,,274,,,,,,242,,,,,,156,,,,,,,66,,,,378,,,,,,1296,423,3,75,75,77,74,45,1
3509,"P. Butler, Paul Butler",35,50 ,73 ,Unknown,3550,188,90,,CB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12745,"G. Korsós, György Korsós",31,58 ,66 ,Unknown,12786,181,78,,RB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24548,"G. Sorondo, Gonzalo Sorondo Amaro",31,71 ,71 ,Unknown,24589,190,82,,CB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
